article_global_id,article_id,db_id,resource_name,published_access,available,unavailable_message,notes,article_year,citations
10.1093/nar/gkl880,1373,MBDC0969,ApiDB: Apicomplexan DataBase,http://ApiDB.org,yes,not_applicable,not_applicable,2007,76
10.1093/nar/gkh057,965,MBDC0410,AppaDB,http://appadb.eb.tuebingen.mpg.de,no,related generic reseach institution site redirect,not_applicable,2004,4
10.1093/nar/gks1058,2490,MBDC1588,APPRIS,http://appris.bioinfo.cnio.es,yes,not_applicable,not_applicable,2013,33
10.1093/nar/gku1202,2845,NAR9110,GRASP: Genome-Wide Repository of Associations between SNPs and Phenotypes,http://apps.nhlbi.nih.gov/Grasp/Overview.aspx,no,not found,not_applicable,2015,16
10.1093/nar/gkr1063,2232,NAR9046,DAMPD: Dragon Antimicrobial Peptide Database,http://apps.sanbi.ac.za/dampd,yes,not_applicable,not_applicable,2012,40
10.1093/nar/gkn593,1736,MBDC1190,Ovarian Cancer Genetics Database,http://apps.sanbi.ac.za/ddoc/,no,not found,not_applicable,2009,25
10.1093/nar/gkv1278,3025,MBDC0408,APD: Antimicrobial Peptide Database,http://aps.unmc.edu/AP/,yes,not_applicable,not_applicable,2016,12
10.1093/nar/gkh025,970,MBDC0408,APD: Antimicrobial Peptide Database,http://aps.unmc.edu/AP/main.html,yes,not_applicable,not_applicable,2004,369
10.1093/nar/gkn823,1870,MBDC0408,APD: Antimicrobial Peptide Database,http://aps.unmc.edu/AP/main.html,yes,not_applicable,not_applicable,2009,480
10.1093/nar/gkh094,951,MBDC0411,Aptamer database,http://aptamer.icmb.utexas.edu,no,can't be reached,not_applicable,2004,129
10.1093/nar/gkq1120,2195,MBDC0618,AGRIS: Arabidopsis Gene Regulatory Information Server,http://arabidopsis.med.ohio-state.edu/,yes,not_applicable,not_applicable,2011,133
10.1093/nar/gkg076,886,MBDC0097,TAIR: The Arabidopsis Information Resource,http://arabidopsis.org,yes,not_applicable,not_applicable,2003,479
10.1093/nar/gkm965,1706,MBDC0097,TAIR: The Arabidopsis Information Resource,http://arabidopsis.org,yes,not_applicable,not_applicable,2008,532
10.1093/nar/gkr1090,2336,MBDC0097,TAIR: The Arabidopsis Information Resource,http://arabidopsis.org,yes,not_applicable,not_applicable,2012,535
10.1093/nar/gkr990,2253,MBDC0876,UCSC Archaeal Genome Browser,http://archaea.ucsc.edu,yes,not_applicable,not_applicable,2012,44
10.1093/nar/gkj134,1287,MBDC0876,UCSC Archaeal Genome Browser,http://archaea.ucsc.edu/,yes,not_applicable,not_applicable,2006,82
10.1093/nar/gkn656,1752,MBDC1207,ARDB: Antibiotic Resistance Genes Database,http://ardb.cbcb.umd.edu/,yes,not_applicable,"Funding; Service Status; ARDB is not being maintained at the moment, though we hope to secure funding to further improve it.",2009,267
10.1093/nar/gkn833,1825,NAR9242,PSF: Protein Segment Finder,http://ari.stanford.edu/psf,no,can't be reached,not_applicable,2009,9
10.1093/nar/gkn869,1838,MBDC1284,AS-ALPS: Alternative Splicing-induced Alteration of Protein Structure,http://as-alps.nagahama-i-bio.ac.jp,yes,not_applicable,Other; alt good http://genomenetwork.nig.ac.jp/as-alps/,2009,18
10.1093/nar/gki127,1064,MBDC0640,ASRP: Arabidopsis Small RNA Project Database,http://asrp.cgrb.oregonstate.edu,yes,not_applicable,not_applicable,2005,154
10.1093/nar/gkm997,1538,MBDC0640,ASRP: Arabidopsis Small RNA Project Database,http://asrp.cgrb.oregonstate.edu/db/,no,not found,not_applicable,2008,62
10.1093/nar/28.1.254,551,NAR9023,ASTRAL Compendium,http://astral.stanford.edu/,no,can't be reached,not_applicable,2000,396
10.1093/nar/30.1.260,733,NAR9023,ASTRAL Compendium,http://astral.stanford.edu/,no,can't be reached,not_applicable,2002,105
10.1093/nar/gkh034,1005,NAR9023,ASTRAL Compendium,http://astral.stanford.edu/,no,can't be reached,not_applicable,2004,423
10.1093/nar/gkn684,1821,MBDC1222,ATGC: Alignable Tight Genomic Clusters,http://atgc.lbl.gov,yes,not_applicable,not_applicable,2009,28
10.1093/nar/gks1082,2407,MBDC0122,Atlas of Genetics and Cytogenetics in Oncology and Haematology,http://atlasgeneticsoncology.org/,yes,not_applicable,Funding; donate now,2013,34
10.1093/nar/gkm844,1556,MBDC1046,AtPID: Arabidopsis thaliana Protein Interactome Database,http://atpid.biosino.org/,no,related generic reseach institution site redirect,not_applicable,2008,87
10.1093/nar/gkn807,1850,MBDC0934,ATTED-II: Arabidopsis thaliana trans-factor and cis-element prediction database,http://atted.jp,yes,not_applicable,not_applicable,2009,246
10.1093/nar/gkr1145,2227,MBDC1537,AutismKB,http://autismkb.cbi.pku.edu.cn/,yes,not_applicable,not_applicable,2012,66
10.1093/nar/gkn650,1768,MBDC1202,AutoSNPdb,http://autosnpdb.qfab.org.au/,no,can't be reached,not_applicable,2009,51
10.1093/nar/gks1089,2430,MBDC1596,HOCOMOCO: HOmo sapiens COmprehensive MOdel Collection,http://autosome.ru/HOCOMOCO/,yes,not_applicable,not_applicable,2013,50
10.1093/nar/gki121,1048,MBDC0662,Diatom EST: Expressed Sequence Tag Database,http://avesthagen.sznbowler.com,no,can't be reached,not_applicable,2005,59
10.1093/nar/gkv1004,2971,MBDC1867,BacWGSTdb: Bacterial Whole Genome Sequence Typing Database,http://bacdb.org/BacWGSTdb,yes,not_applicable,not_applicable,2016,2
10.1093/nar/gkt1058,2638,MBDC1694,BacDive: Bacterial Diversity Metadatabase,http://bacdive.dsmz.de,yes,not_applicable,not_applicable,2014,7
10.1093/nar/gkv983,3066,MBDC1694,BacDive: Bacterial Diversity Metadatabase,http://bacdive.dsmz.de/,yes,not_applicable,not_applicable,2016,2
10.1093/nar/gkr1105,2317,MBDC0641,BacMap,http://bacmap.wishartlab.com/,yes,not_applicable,not_applicable,2012,5
10.1093/nar/gkt1252,2649,MBDC1736,BacMet,http://bacmet.biomedicine.gu.se,yes,not_applicable,not_applicable,2014,21
10.1093/nar/28.1.102,487,NAR9047,DAtA: Database of Arabidopsis thaliana Annotation,http://baggage.stanford.edu/group/arabprotein/,no,can't be reached,not_applicable,2000,6
10.1093/nar/gkt1204,2595,MBDC1411,Gene Expression Barcode,http://barcode.luhs.org,yes,not_applicable,not_applicable,2014,19
10.1093/nar/gkg064,882,NAR9027,BayGenomics,http://baygenomics.ucsf.edu/,no,not found,not_applicable,2003,180
10.1093/nar/gkn761,1826,MBDC1253,OligoArrayDb,http://berry.engin.umich.edu/oligoarraydb,yes,not_applicable,not_applicable,2009,7
10.1093/nar/gkt1165,2724,MBDC1678,OnTheFly,http://bhapp.c2b2.columbia.edu/OnTheFly/index.php,yes,not_applicable,not_applicable,2014,9
10.1093/nar/gks1231,2411,MBDC1632,PrePPI: PREdiction Protein-Protein Interactions,http://bhapp.c2b2.columbia.edu/PrePPI,yes,not_applicable,not_applicable,2013,65
10.1093/nar/29.1.196,634,NAR9133,HyPaLib: Hybrid Pattern Library,http://bibiserv.techfak.uni-bielefeld.de/HyPa/,no,not found,not_applicable,2001,14
10.1093/nar/gkl853,1350,NAR9221,PharmGED,http://bidd.cz3.nus.edu.sg/phg/,no,can't be reached,not_applicable,2007,4
10.1093/nar/gkp1014,2007,MBDC0315,TTD: Therapeutic Target Database,http://bidd.nus.edu.sg/group/cjttd/TTD.asp,yes,not_applicable,not_applicable,2010,96
10.1093/nar/gkn839,1782,MBDC0138,KDBI: Kinetic Data of Biomolecular Interactions,http://bidd.nus.edu.sg/group/kdbi/kdbi.asp,yes,not_applicable,not_applicable,2009,11
10.1093/nar/gkr797,2245,MBDC0315,TTD: Therapeutic Target Database,http://bidd.nus.edu.sg/group/ttd/ttd.asp,no,service unavailable,not_applicable,2012,179
10.1093/nar/gkt1129,2679,MBDC0315,TTD: Therapeutic Target Database,http://bidd.nus.edu.sg/group/ttd/ttd.asp,no,service unavailable,not_applicable,2014,42
10.1093/nar/gkv1230,2997,MBDC0315,TTD: Therapeutic Target Database,http://bidd.nus.edu.sg/group/ttd/ttd.asp,no,service unavailable,not_applicable,2016,4
10.1093/nar/gku1212,2880,MBDC1790,Cfam: Chemical Families Database,http://bidd2.cse.nus.edu.sg/cfam,no,can't be reached,not_applicable,2015,1
10.1093/nar/27.1.188,369,MBDC0252,UTRdb: UnTranslated Regions of eukaryotic mRNAs database,http://bigarea.area.ba.cnr.it:8000/Biowww/#UTRdb,no,can't be reached,not_applicable,1999,35
10.1093/nar/28.1.193,511,MBDC0252,UTRdb: UnTranslated Regions of eukaryotic mRNAs database,http://bigarea.area.ba.cnr.it:8000/EmbIT/UTRHome/,no,can't be reached,Other; not considering UTRsite separate,2000,63
10.1093/nar/gkv1049,3016,MBDC1854,"BiGG Models: Biochemical, Genetic and Genomic Models",http://bigg.ucsd.edu,no,service unavailable,not_applicable,2016,4
10.1093/nar/gkg123,875,MBDC0226,MitoDrome,http://bighost.area.ba.cnr.it/BIG/MitoDrome,no,can't be reached,not_applicable,2003,33
10.1093/nar/30.1.335,670,MBDC0252,UTRdb: UnTranslated Regions of eukaryotic mRNAs database,http://bighost.area.ba.cnr.it/BIG/UTRHome/,no,can't be reached,Other; not considering UTRsite separate,2002,168
10.1093/nar/30.1.174,763,NAR9009,AMmtDB,http://bighost.area.ba.cnr.it/mitochondriom,no,can't be reached,Indexing - other; name wrong in title of scopus record (correct in pubmed),2002,9
10.1093/nar/30.1.172,751,MBDC0085,MitoNuc,http://bighost.area.ba.cnr.it/mitochondriome,no,can't be reached,not_applicable,2002,10
10.1093/nar/30.1.347,716,MBDC0189,PLANT-Pls,http://bighost.area.ba.cnr.it/PLANT-Pls,no,can't be reached,not_applicable,2002,80
10.1093/nar/gkg080,796,NAR9230,PLMltRNA,http://bighost.area.ba.cnr.it/PLMItRNA/,no,can't be reached,not_applicable,2003,7
10.1093/nar/gkg056,819,NAR9028,BIND: Biomolecular Interaction Network Database,http://bind.ca,no,can't be reached,not_applicable,2003,765
10.1093/nar/gki051,1084,NAR9028,BIND: Biomolecular Interaction Network Database,http://bind.ca,no,can't be reached,not_applicable,2005,407
10.1093/nar/29.1.242,561,NAR9028,BIND: Biomolecular Interaction Network Database,http://binddb.org,no,unrelated site redirect,not_applicable,2001,395
10.1093/nar/gkq1108,2182,MBDC1436,PRIDB: Protein-RNA Interface DataBase,http://bindr.gdcb.iastate.edu/PRIDB,yes,not_applicable,Access - Failure Notes; Service Status; Honest; CAUTION!!! PRIDB IS CURRENTLY UNDER MAINTENANCE. OUTPUT REGARDING INTERFACIAL RESIDUES SHOULD NOT BE CONSIDERED RELIABLE.,2011,44
10.1093/nar/gkn606,1880,MBDC1193,ZiFDB: Zinc Finger Database,http://bindr.gdcb.iastate.edu/ZiFDB,no,not found,not_applicable,2009,55
10.1093/nar/gkq1255,2103,MBDC1451,TMPad: TransMembrane Protein Helix-Packing Database,http://bio-cluster.iis.sinica.edu.tw/TMPad,yes,not_applicable,not_applicable,2011,14
10.1093/nar/27.1.134,435,NAR9009,AMmtDB,http://bio-www.ba.cnr.it:8000/Biowww/#AMMTDB,no,can't be reached,not_applicable,1999,7
10.1093/nar/29.1.167,619,NAR9230,PLMltRNA,http://bio-www.ba.cnr.it:8000/PLMItRNA,no,can't be reached,not_applicable,2001,1
10.1093/nar/27.1.156,364,NAR9230,PLMltRNA,http://bio-www.ba.cnr.it:8000/srs/,no,can't be reached,not_applicable,1999,1
10.1093/nar/26.1.192,274,MBDC0252,UTRdb: UnTranslated Regions of eukaryotic mRNAs database,http://bio-www.ba.cnr.it:8000/srs5/,no,can't be reached,not_applicable,1998,15
10.1093/nar/28.1.163,527,MBDC0085,MitoNuc,http://bio-www.ba.cnr.it:8000/srs6/,no,can't be reached,not_applicable,2000,3
10.1093/nar/28.1.153,545,NAR9009,AMmtDB,http://bio-www.ba.cnr.it:8000/srs6/,no,can't be reached,not_applicable,2000,13
10.1093/nar/28.1.159,553,NAR9230,PLMltRNA,http://bio-WWW.ba.cnr.it:8000/srs6/,no,can't be reached,not_applicable,2000,3
10.1093/nar/27.1.365,367,NAR9151,KEYnet,http://bio-www.ba.cnr.t:8000/sr,no,can't be reached,not_applicable,1999,5
10.1093/nar/gki103,1161,MBDC0700,MAPPER,http://bio.chip.org/mapper,no,can't be reached,not_applicable,2005,87
10.1093/nar/gkp957,1988,MBDC1373,NCG: Network for Cancer Genes,http://bio.ifom-ieo-campus.it/ncg,yes,not_applicable,not_applicable,2010,18
10.1093/nar/gkr952,2394,MBDC1373,NCG: Network for Cancer Genes,http://bio.ifom-ieo-campus.it/ncg,yes,not_applicable,not_applicable,2012,26
10.1093/nar/gkg107,831,MBDC0248,SRPDB: Signal Recognition Particle Database,http://bio.lundberg.gu.se/dbs/SRPDB/SRPDB.html,yes,not_applicable,Access - Failure Notes; just this very last mirror site still up,2003,89
10.1093/nar/30.1.176,692,MBDC0230,5S rRNA Data Bank (Erdmann),http://biobases.ibch.poznan.pl/5SData,yes,not_applicable,not_applicable,2002,112
10.1093/nar/29.1.288,598,MBDC0156,AARSDB: Aminoacyl-tRNA Synthetase Data Bank,http://biobases.ibch.poznan.pl/aars/,yes,not_applicable,not_applicable,2001,15
10.1093/nar/29.1.189,647,MBDC0381,ncRNAdb: Noncoding RNAs database,http://biobases.ibch.poznan.pl/ncRNA/,yes,not_applicable,not_applicable,2001,100
10.1093/nar/gkg124,846,MBDC0381,ncRNAdb: Noncoding RNAs database,http://biobases.ibch.poznan.pl/ncRNA/,yes,not_applicable,not_applicable,2003,39
10.1093/nar/gkl994,1475,MBDC0381,ncRNAdb: Noncoding RNAs database,http://biobases.ibch.poznan.pl/ncRNA/,yes,not_applicable,not_applicable,2007,26
10.1093/nar/gkv1273,3077,MBDC1344,deepBase,http://biocenter.sysu.edu.cn/deepBase/,no,can't be reached,not_applicable,2016,5
10.1093/nar/24.1.216,154,MBDC0048,TransTerm,http://biochem.otaga.ac.nz.800/,no,can't be reached,not_applicable,1996,16
10.1093/nar/27.1.293,423,MBDC0048,TransTerm,http://biochem.otago.ac.nz:800/Transterm/homepage.html,no,can't be reached,not_applicable,1999,23
10.1093/nar/25.1.246,217,MBDC0048,TransTerm,http://biochem.otago.ac.nz:800/Transterm/homepage/html,no,can't be reached,not_applicable,1997,17
10.1093/nar/26.1.335,323,MBDC0048,TransTerm,http://biochem.otago.ac.nz:800/Transterm/html,no,can't be reached,not_applicable,1998,21
10.1093/nar/28.1.293,508,MBDC0048,TransTerm,http://biochem.otago.ac.nz/Transterm/,no,not found,not_applicable,2000,18
10.1093/nar/24.1.155,109,NAR9114,GRR: Glucocorticoid Receptor Resource,http://biochem1.basic-sci.georgetown.edu/grr/grr.html,no,can't be reached,not_applicable,1996,0
10.1093/nar/gkr806,2352,MBDC1556,DIGIT: Database of Immunoglobulins with Integrated Tools,http://biocomputing.it/digit,yes,not_applicable,not_applicable,2012,19
10.1093/nar/gkr845,2287,MBDC1523,InterEvol database,http://biodev.cea.fr/interevol/,no,not found,not_applicable,2012,15
10.1093/nar/gks1114,2475,MBDC1672,BioGPS,http://biogps.org,yes,not_applicable,not_applicable,2013,47
10.1093/nar/gkv1104,3120,MBDC1672,BioGPS,http://biogps.org,yes,not_applicable,not_applicable,2016,6
10.1093/nar/gkh043,921,MBDC0489,GTD: Genomic Threading Database,http://bioinf.cs.ucl.ac.uk/GTD,yes,not_applicable,Access - Transfer/Redirect; redirects to Gene3D,2004,30
10.1093/nar/26.1.376,283,NAR9236,PROMISE,http://bioinf.leeds.ac.uk/promise/,no,can't be reached,Naming; PROMISE (Prosthetic centres and metal ions in protein active sites),1998,12
10.1093/nar/27.1.233,341,NAR9236,PROMISE,http://bioinf.leeds.ac.uk/promise/,no,can't be reached,not_applicable,1999,27
10.1093/nar/gki052,1052,MBDC0638,AtNoPDB: Arabidopsis Nucleolar Protein DataBase,http://bioinf.scri.sari.ac.uk/cgi-bin/atnopdb/home,yes,not_applicable,not_applicable,2005,51
10.1093/nar/gku1066,2778,MBDC1812,ADReCS: dverse Drug Reaction Classification System,http://bioinf.xmu.edu.cn/ADReCS/,yes,not_applicable,not_applicable,2015,5
10.1093/nar/gkq908,2071,MBDC1333,TADB: Type 2 toxin-Antitoxin DataBase,http://bioinfo-mml.sjtu.edu.cn/TADB/,yes,not_applicable,not_applicable,2011,93
10.1093/nar/gkr878,2314,MBDC1464,mirEX,http://bioinfo.amu.edu.pl/mirex,no,can't be reached,not_applicable,2012,16
10.1093/nar/gkl815,1424,MBDC0984,dbRES: RNA Editing Sites,http://bioinfo.au.tsinghua.edu.cn/dbRES,no,forbidden,not_applicable,2007,14
10.1093/nar/gkv1002,3041,MBDC1837,DbSUPER: Database of Super-enhancers,http://bioinfo.au.tsinghua.edu.cn/dbsuper/,yes,not_applicable,not_applicable,2016,5
10.1093/nar/gkj022,1282,MBDC0833,ITTACA: Integrated Tumor Transcriptome Array and Clinical data Analysis,http://bioinfo.curie.fr/ittaca,no,discontinued notice,not_applicable,2006,31
10.1093/nar/gkh098,993,NAR9315,VirGen,http://bioinfo.ernet.in/virgen/virgen.html,no,can't be reached,Link; hftp in abstract - checked PDF,2004,16
10.1093/nar/gkr1169,2379,MBDC1539,DiseaseMeth,http://bioinfo.hrbmu.edu.cn/diseasemeth,yes,not_applicable,not_applicable,2012,35
10.1093/nar/gkp968,1897,MBDC1345,HHMD: Human Histone Modification Database,http://bioinfo.hrbmu.edu.cn/hhmd,yes,not_applicable,not_applicable,2010,33
10.1093/nar/gkr914,2226,MBDC1477,MIPModDB,http://bioinfo.iitk.ac.in/MIPModDB,yes,not_applicable,not_applicable,2012,15
10.1093/nar/gkv1076,3035,MBDC1864,SigMol,http://bioinfo.imtech.res.in/manojk/sigmol,yes,not_applicable,not_applicable,2016,1
10.1093/nar/gku887,2927,MBDC1460,AnimalTFDB: Animal Transcription Factor Database,http://bioinfo.life.hust.edu.cn/AnimalTFDB/,yes,not_applicable,not_applicable,2015,9
10.1093/nar/gku1000,2827,MBDC1767,lncRNASNP,http://bioinfo.life.hust.edu.cn/IncRNASNP/,no,not found,not_applicable,2015,27
10.1093/nar/gkm792,1526,MBDC1105,NORINE,http://bioinfo.lifl.fr/norine/,yes,not_applicable,"Naming; NOnRibosomal peptides, with ine as a typical ending of peptide names",2008,114
10.1093/nar/gkv1143,2996,MBDC1105,NORINE,http://bioinfo.lifl.fr/NRP,yes,not_applicable,not_applicable,2016,3
10.1093/nar/gkv1128,2949,MBDC1885,ccmGDB: cancer cell metabolism genes database,http://bioinfo.mc.vanderbilt.edu/ccmGDB,no,can't be reached,not_applicable,2016,3
10.1093/nar/gks937,2530,MBDC1644,TSGene: Tumor Suppressor Gene,http://bioinfo.mc.vanderbilt.edu/TSGene/,no,can't be reached,not_applicable,2013,124
10.1093/nar/gkv1268,2987,MBDC1644,TSGene: Tumor Suppressor Gene,http://bioinfo.mc.vanderbilt.edu/TSGene/,no,can't be reached,not_applicable,2016,5
10.1093/nar/29.1.277,621,MBDC0042,PromEC,http://bioinfo.md.huji.ac.il/marg/promec,no,can't be reached,not_applicable,2001,44
10.1093/nar/gkt927,2669,MBDC1683,HRaP: HomoRepeats and Patterns,http://bioinfo.protres.ru/hrap/,yes,not_applicable,not_applicable,2014,8
10.1093/nar/gkg020,896,NAR9293,TMPDB,http://bioinfo.si.hirosaki-u.ac.jp/~TMPDB/,yes,not_applicable,not_applicable,2003,60
10.1093/nar/gkp786,1923,MBDC1177,PDBselect,http://bioinfo.tg.fh-giessen.de/pdbselect/,no,can't be reached,not_applicable,2010,66
10.1093/nar/gkn768,1815,MBDC1517,Selectome,http://bioinfo.unil.ch/selectome/,yes,not_applicable,not_applicable,2009,24
10.1093/nar/gkn816,1882,MBDC1268,ERGR: Ethanol-Related Gene Resource,http://bioinfo.vipbg.vcu.edu/ERGR/,no,can't be reached,not_applicable,2009,26
10.1093/nar/gkg050,789,MBDC0350,GeneCards,http://bioinfo.weizmann.ac.il/cards/,no,not found,not_applicable,2003,24
10.1093/nar/gkg050,789,MBDC0366,HORDE: Human Olfactory Receptor Data Explora-torium,http://bioinfo.weizmann.ac.il/HORDE,no,not found,not_applicable,2003,24
10.1093/nar/gkg050,789,NAR9307,UDB,http://bioinfo.weizmann.ac.il/udb,no,not found,not_applicable,2003,24
10.1093/nar/gkt1202,2708,MBDC1321,NGSmethDB,http://bioinfo2.ugr.es/NGSmethDB,yes,not_applicable,not_applicable,2014,6
10.1093/nar/gkq942,2069,MBDC1321,NGSmethDB,http://bioinfo2.ugr.es/NGSmethDB/gbrowse/,yes,not_applicable,not_applicable,2011,29
10.1093/nar/gkn759,1876,MBDC1252,RsiteDB,http://bioinfo3d.cs.tau.ac.il/RsiteDB,yes,not_applicable,not_applicable,2009,13
10.1093/nar/gku928,2846,MBDC1781,Sc-PDB,http://bioinfopharma.u-strasbg.fr/scPDB/,no,can't be reached,not_applicable,2015,14
10.1093/nar/gkj018,1249,NAR9056,DMAPS: Database of Multiple Alignments for Protein Structures,http://bioinformatics.albany.edu/~dmaps,no,forbidden,not_applicable,2006,4
10.1093/nar/gkq863,2173,MBDC1323,OMPdb,http://bioinformatics.biol.uoa.gr/OMPdb,yes,not_applicable,not_applicable,2011,23
