db_id,resource_name,current_access,link_HTML,is_a_pun,available_2022,last_accessible_year,unavailable_message,year_first_publication,year_last_publication,total_citations_2022,nb_authors_max,nb_articles_2022
NAR9278,small subunit (16S- and 16S-like) ribosomal RNA structures,http://pundit.colorado.edu:8080/RNA/16S/16s.html,"<a href=""http://pundit.colorado.edu:8080/RNA/16S/16s.html"">access link</a>",FALSE,No,2016,Can't be reached,1993,1994,553,1,2
NAR9279,Snap: Single Nucleotide Polymorphism Annotation Platform,http://snap.humgen.au.dk/,"<a href=""http://snap.humgen.au.dk/"">access link</a>",FALSE,No,2015,Can't be reached,2007,2007,31,7,1
NAR9281,SNP Cnsortium Website,http://snp.cshl.org,"<a href=""http://snp.cshl.org"">access link</a>",FALSE,No,2016,Can't be reached,2003,2003,133,2,1
NAR9284,Stanford Biomedical Abbreviation Server,http://bionlp.stanford.edu/abbreviation/,"<a href=""http://bionlp.stanford.edu/abbreviation/"">access link</a>",FALSE,No,2015,Can't be reached,2005,2005,39,6,1
NAR9285,Sulfolobus database,http://www.sulfolobus.org,"<a href=""http://www.sulfolobus.org"">access link</a>",FALSE,No,2014,Can't be reached,2007,2007,12,1,1
NAR9291,tGRAP,http://tGRAP.uit.no/,"<a href=""http://tGRAP.uit.no/"">access link</a>",FALSE,No,2016,Can't be reached,2002,2002,22,4,1
NAR9292,TMAD,http://tma.stanford.edu,"<a href=""http://tma.stanford.edu"">access link</a>",FALSE,No,2015,Can't be reached,2008,2008,53,13,1
NAR9296,TOPS,http://www.tops.leeds.ac.uk/,"<a href=""http://www.tops.leeds.ac.uk/"">access link</a>",FALSE,No,2016,Can't be reached,2004,2004,81,4,1
NAR9298,TransfactomeDB,http://bussemakerlab.org/TransfactomeDB/,"<a href=""http://bussemakerlab.org/TransfactomeDB/"">access link</a>",FALSE,No,2015,Can't be reached,2008,2008,16,3,1
NAR9303,TRIPLES: TRansposon-lnsertion Phenotypes; Localization and Expression in Saccharomyces,http://ygac.med.yale.edu,"<a href=""http://ygac.med.yale.edu"">access link</a>",FALSE,No,2015,Can't be reached,2000,2002,97,7,2
NAR9313,uRNA database,http://pegasus.uthct.edu/uRNADB/uRNADB.html,"<a href=""http://pegasus.uthct.edu/uRNADB/uRNADB.html"">access link</a>",FALSE,No,2016,Can't be reached,1996,1997,27,1,2
NAR9314,VHL Gene Database,http://www.umd.necker.fr,"<a href=""http://www.umd.necker.fr"">access link</a>",FALSE,No,2015,Can't be reached,1998,1998,113,6,1
NAR9317,Viroid and Viroid-Like RNA Database,http://www.callisto.si.usherb.ca/~jpperra,"<a href=""http://www.callisto.si.usherb.ca/~jpperra"">access link</a>",FALSE,No,2016,Can't be reached,1997,2000,29,5,4
NAR9319,VMD: VBI Microbial Database,http://phytophthora.vbi.vt.edu/,"<a href=""http://phytophthora.vbi.vt.edu/"">access link</a>",FALSE,No,2015,Can't be reached,2006,2006,24,5,1
NAR9320,VNTRDB: Variable Number Tandem Repeat DataBase,http://vntr.csie.ntu.edu.tw/,"<a href=""http://vntr.csie.ntu.edu.tw/"">access link</a>",FALSE,No,2015,Can't be reached,2007,2007,24,5,1
NAR9322,WIT: What Is There,http://wit.mcs.anl.gov/WIT2/,"<a href=""http://wit.mcs.anl.gov/WIT2/"">access link</a>",FALSE,No,2016,Can't be reached,2000,2000,287,9,1
NAR9325,xBASE,http://xbase.bham.ac.uk,"<a href=""http://xbase.bham.ac.uk"">access link</a>",FALSE,No,2014,Can't be reached,2006,2008,164,6,2
NAR9326,Xpro,http://origin.bic.nus.edu.sg/xpro,"<a href=""http://origin.bic.nus.edu.sg/xpro"">access link</a>",FALSE,No,2015,Can't be reached,2004,2004,21,4,1
NAR9329,YPD: Yeast Proteome Database,http://www.proteome.com/databases/index.html,"<a href=""http://www.proteome.com/databases/index.html"">access link</a>",FALSE,No,2015,Can't be reached,1996,2000,577,14,5
NAR9331,ZmDB: maize genome database,http://zmdb.iastate.edu/,"<a href=""http://zmdb.iastate.edu/"">access link</a>",FALSE,No,2016,Can't be reached,2000,2003,87,5,2
MBDC0336,RiceGAAS,http://RiceGAAS.dna.affrc.go.jp/,"<a href=""http://RiceGAAS.dna.affrc.go.jp/"">access link</a>",FALSE,No,2017,Can't be reached,2002,2002,112,12,1
MBDC0355,PlantGDB: Genome DataBase,http://www.plantgdb.org/,"<a href=""http://www.plantgdb.org/"">access link</a>",FALSE,No,2022,Can't be reached,2004,2008,318,10,2
MBDC0356,RTPrimerDB,http://www.rtprimerdb.org,"<a href=""http://www.rtprimerdb.org"">access link</a>",FALSE,No,2020,Can't be reached,2003,2009,409,5,3
MBDC0396,euGenes,http://iubio.bio.indiana.edu/eugenes/,"<a href=""http://iubio.bio.indiana.edu/eugenes/"">access link</a>",TRUE,No,2019,Can't be reached,2002,2002,39,1,1
MBDC0427,CATMA: Complete Arabidopsis Transcriptome MicroArray,http://www.catma.org/,"<a href=""http://www.catma.org/"">access link</a>",FALSE,No,2018,Can't be reached,2003,2003,125,13,1
MBDC0567,ProtoNet,http://www.protonet.cs.huji.ac.il,"<a href=""http://www.protonet.cs.huji.ac.il"">access link</a>",FALSE,No,2022,Can't be reached,2003,2012,149,9,3
MBDC0629,siRNAdb,http://siRNA.cgb.ki.se,"<a href=""http://siRNA.cgb.ki.se"">access link</a>",FALSE,No,2018,Can't be reached,2005,2005,51,4,1
MBDC0630,RNAdb,http://research.imb.uq.edu.au/RNAdb,"<a href=""http://research.imb.uq.edu.au/RNAdb"">access link</a>",FALSE,No,2017,Can't be reached,2005,2007,250,9,2
MBDC0745,SPD: Secreted Protein Database,http://spd.cbi.pku.edu.cn,"<a href=""http://spd.cbi.pku.edu.cn"">access link</a>",FALSE,No,2017,Can't be reached,2005,2005,143,8,1
MBDC0843,Plant MPSS: Massively Parallel Signature Sequencing,http://mpss.udel.edu,"<a href=""http://mpss.udel.edu"">access link</a>",FALSE,No,2017,Can't be reached,2006,2006,238,6,1
MBDC0861,RMD: Rice Mutant Database,http://rmd.ncpgr.cn,"<a href=""http://rmd.ncpgr.cn"">access link</a>",FALSE,No,Never archived,Can't be reached,2006,2006,161,7,1
MBDC0947,RegTransBase,http://regtransbase.lbl.gov,"<a href=""http://regtransbase.lbl.gov"">access link</a>",FALSE,No,Never archived,Can't be reached,2007,2007,69,9,1
MBDC0978,Protein Classification Benchmark Collection,http://hydra.icgeb.trieste.it/benchmark,"<a href=""http://hydra.icgeb.trieste.it/benchmark"">access link</a>",FALSE,No,2017,Can't be reached,2007,2007,37,8,1
MBDC1090,ITS2: Internal Transcribed Spacer 2,http://its2.bioapps.biozentrum.uni-wuerzburg.de,"<a href=""http://its2.bioapps.biozentrum.uni-wuerzburg.de"">access link</a>",FALSE,No,2022,Can't be reached,2008,2010,339,9,2
MBDC1143,UCSD-Nature Signaling Gateway Molecule Pages,http://www.signaling-gateway.org/molecule,"<a href=""http://www.signaling-gateway.org/molecule"">access link</a>",FALSE,No,2022,Can't be reached,2008,2008,18,6,1
MBDC1150,MapX,http://xmap.picr.man.ac.uk,"<a href=""http://xmap.picr.man.ac.uk"">access link</a>",FALSE,No,2016,Can't be reached,2008,2008,53,3,1
MBDC1198,RiceGeneThresher,http://rice.kps.ku.ac.th,"<a href=""http://rice.kps.ku.ac.th"">access link</a>",FALSE,No,2022,Can't be reached,2009,2009,9,4,1
MBDC1200,PhyloPat,http://www.cmbi.ru.nl/phylopat,"<a href=""http://www.cmbi.ru.nl/phylopat"">access link</a>",FALSE,No,2018,Can't be reached,2009,2009,7,4,1
MBDC1204,PID: Pathway Interaction Database,http://pid.nci.nih.gov,"<a href=""http://pid.nci.nih.gov"">access link</a>",FALSE,No,2017,Can't be reached,2009,2009,928,7,1
MBDC1228,G2Cdb: Genes to Cognition,http://www.genes2cognition.org,"<a href=""http://www.genes2cognition.org"">access link</a>",FALSE,No,2022,Can't be reached,2009,2009,46,5,1
MBDC1249,SNPLogic,http://www.snplogic.org,"<a href=""http://www.snplogic.org"">access link</a>",FALSE,No,2019,Can't be reached,2009,2009,24,9,1
MBDC1258,PAZAR database,http://www.pazar.info,"<a href=""http://www.pazar.info"">access link</a>",FALSE,No,2019,Can't be reached,2009,2009,79,8,1
MBDC1387,PlnTFDB: Plant Transcription Factor Database,http://plntfdb.bio.uni-potsdam.de/v3.0/,"<a href=""http://plntfdb.bio.uni-potsdam.de/v3.0/"">access link</a>",FALSE,No,2021,Can't be reached,2010,2010,465,6,1
MBDC1389,PNRD: Plant Non-coding RNA Database,http://structuralbiology.cau.edu.cn/PNRD,"<a href=""http://structuralbiology.cau.edu.cn/PNRD"">access link</a>",FALSE,No,2022,Can't be reached,2015,2015,122,5,1
MBDC1440,RBPDB: RNA-Binding Protein DataBase,http://rbpdb.ccbr.utoronto.ca,"<a href=""http://rbpdb.ccbr.utoronto.ca"">access link</a>",FALSE,No,2022,Can't be reached,2011,2011,284,5,1
MBDC1442,RepTar,http://reptar.ekmd.huji.ac.il,"<a href=""http://reptar.ekmd.huji.ac.il"">access link</a>",FALSE,No,2017,Can't be reached,2011,2011,40,6,1
MBDC1498,Pocketome,http://www.pocketome.org,"<a href=""http://www.pocketome.org"">access link</a>",FALSE,No,2018,Can't be reached,2012,2012,101,3,1
MBDC1508,ProPortal,http://proportal.mit.edu/,"<a href=""http://proportal.mit.edu/"">access link</a>",FALSE,No,2019,Can't be reached,2012,2012,26,4,1
MBDC1518,iPAVS: Integrated Pathway Resources; Analysis and Visualization System,http://ipavs.cidms.org,"<a href=""http://ipavs.cidms.org"">access link</a>",FALSE,No,2021,Can't be reached,2012,2012,22,5,1
MBDC1577,RhesusBase,http://www.rhesusbase.org,"<a href=""http://www.rhesusbase.org"">access link</a>",FALSE,No,2019,Can't be reached,2013,2013,23,16,1
MBDC1680,HMDD: Human microRNA Disease Database,http://202.38.126.151/hmdd/tools/hmdd2.html,"<a href=""http://202.38.126.151/hmdd/tools/hmdd2.html"">access link</a>",FALSE,No,2017,Can't be reached,2014,2014,461,7,1
MBDC1681,RADAR: Rigorously Annotated Database of A-to-i RNA editing,http://RNAedit.com,"<a href=""http://RNAedit.com"">access link</a>",TRUE,No,2021,Can't be reached,2014,2014,273,2,1
MBDC1689,SMMRNA: Small Molecule Modulators of RNA,http://www.smmrna.org,"<a href=""http://www.smmrna.org"">access link</a>",FALSE,No,2022,Can't be reached,2014,2014,16,6,1
MBDC1708,SFLD: Structure Function Linkage Database,http://sfld.rbvi.ucsf.edu/,"<a href=""http://sfld.rbvi.ucsf.edu/"">access link</a>",FALSE,No,2022,Can't be reached,2014,2014,140,19,1
MBDC1895,WITHDRAWN,http://cheminfo.charite.de/withdrawn,"<a href=""http://cheminfo.charite.de/withdrawn"">access link</a>",TRUE,No,2021,Can't be reached,2016,2016,106,6,1
MBDC1908,MitoAge,http://www.mitoage.org,"<a href=""http://www.mitoage.org"">access link</a>",FALSE,No,2018,Can't be reached,2016,2016,14,6,1
NAR9252,RGKbase: Rice Genome Knowledgebase,http://rgkbase.big.ac.cn/RGKbase/,"<a href=""http://rgkbase.big.ac.cn/RGKbase/"">access link</a>",FALSE,No,2017,Can't be reached,2013,2013,20,5,1
NAR9255,RiceWiki,http://ricewiki.big.ac.cn,"<a href=""http://ricewiki.big.ac.cn"">access link</a>",FALSE,No,2017,Can't be reached,2014,2014,15,19,1
MBDC0464,EyeSite,http://eyesite.cryst.bbk.ac.uk/,"<a href=""http://eyesite.cryst.bbk.ac.uk/"">access link</a>",TRUE,No,2014,Can't be reached,2004,2004,5,5,1
MBDC0667,ECgene: EST Clustering,http://genome.ewha.ac.kr/ECgene/,"<a href=""http://genome.ewha.ac.kr/ECgene/"">access link</a>",FALSE,No,2015,Can't be reached,2005,2007,75,10,2
NAR9167,MetaFMF,http://fmf.igh.cnrs.fr/metaFMF/index.html,"<a href=""http://fmf.igh.cnrs.fr/metaFMF/index.html"">access link</a>",FALSE,No,2015,Can't be reached,2003,2003,5,6,1
MBDC1350,3DNALandscapes,http://3DNAscapes.rutgers.edu,"<a href=""http://3DNAscapes.rutgers.edu"">access link</a>",FALSE,No,2016,Can't be reached,2010,2010,10,4,1
NAR9096,Gene Aging Nexus,http://gan.usc.edu,"<a href=""http://gan.usc.edu"">access link</a>",FALSE,No,2016,Can't be reached,2007,2007,40,10,1
MBDC0671,FunShift: Functional Shift,http://FunShift.cgb.ki.se,"<a href=""http://FunShift.cgb.ki.se"">access link</a>",FALSE,No,2017,Can't be reached,2005,2005,40,2,1
MBDC1810,EpilepsyGene,http://61.152.91.49/EpilepsyGene,"<a href=""http://61.152.91.49/EpilepsyGene"">access link</a>",TRUE,No,2017,Can't be reached,2015,2015,38,7,1
NAR9091,FSN: Flexible Structural Neighborhood,http://fatcat.burnham.org/fatcat/struct_neighbor,"<a href=""http://fatcat.burnham.org/fatcat/struct_neighbor"">access link</a>",FALSE,No,2017,Can't be reached,2006,2006,26,3,1
MBDC1287,AHD: Arabidopsis Hormone Database,http://ahd.cbi.pku.edu.cn,"<a href=""http://ahd.cbi.pku.edu.cn"">access link</a>",FALSE,No,2018,Can't be reached,2009,2011,81,19,2
MBDC1881,GEneSTATION,http://genestation.org,"<a href=""http://genestation.org"">access link</a>",FALSE,No,2018,Can't be reached,2016,2016,6,14,1
MBDC1354,ComSin,http://antares.protres.ru/comsin/,"<a href=""http://antares.protres.ru/comsin/"">access link</a>",FALSE,No,2019,Can't be reached,2010,2010,22,6,1
NAR9046,DAMPD: Dragon Antimicrobial Peptide Database,http://apps.sanbi.ac.za/dampd,"<a href=""http://apps.sanbi.ac.za/dampd"">access link</a>",TRUE,No,2019,Can't be reached,2012,2012,72,8,1
MBDC1222,ATGC: Alignable Tight Genomic Clusters,http://atgc.lbl.gov,"<a href=""http://atgc.lbl.gov"">access link</a>",FALSE,No,2020,Can't be reached,2009,2009,40,5,1
MBDC1537,AutismKB,http://autismkb.cbi.pku.edu.cn/,"<a href=""http://autismkb.cbi.pku.edu.cn/"">access link</a>",FALSE,No,2020,Can't be reached,2012,2012,118,6,1
MBDC1605,ValidNESs,http://validness.ym.edu.tw/,"<a href=""http://validness.ym.edu.tw/"">access link</a>",FALSE,No,2020,Can't be reached,2013,2013,52,4,1
MBDC0252,UTRdb: UnTranslated Regions of eukaryotic mRNAs database,http://utrdb.ba.itb.cnr.it/,"<a href=""http://utrdb.ba.itb.cnr.it/"">access link</a>",FALSE,No,2021,Can't be reached,1998,2010,665,11,6
MBDC0506,INFEVERS: INternet periodic FEVERS,http://fmf.igh.cnrs.fr/infevers/,"<a href=""http://fmf.igh.cnrs.fr/infevers/"">access link</a>",TRUE,No,2021,Can't be reached,2003,2003,132,6,1
MBDC1073,FLYSNPdb,http://flysnp.imp.ac.at/flysnpdb.php,"<a href=""http://flysnp.imp.ac.at/flysnpdb.php"">access link</a>",FALSE,No,2021,Can't be reached,2009,2009,10,4,1
MBDC0403,ACLAME: A CLAssification of Mobile genetic Elements,http://aclame.ulb.ac.be,"<a href=""http://aclame.ulb.ac.be"">access link</a>",TRUE,No,2022,Can't be reached,2004,2010,315,4,2
MBDC0408,APD: Antimicrobial Peptide Database,http://aps.unmc.edu/AP/,"<a href=""http://aps.unmc.edu/AP/"">access link</a>",FALSE,No,2022,Can't be reached,2004,2016,1970,3,3
MBDC1650,TCMID: Traditional Chinese Medicine Integrated Database,http://www.megabionet.org/tcmid/,"<a href=""http://www.megabionet.org/tcmid/"">access link</a>",FALSE,No,2022,Can't be reached,2013,2018,345,7,2
MBDC1806,MethHC : Information repository of DNA methylation and gene expression in human cancer,https://awi.cuhk.edu.cn/~MethHC,"<a href=""https://awi.cuhk.edu.cn/~MethHC"">access link</a>",FALSE,No,2022,Can't be reached,2015,2021,196,21,2
MBDC1839,CircNet,https://awi.cuhk.edu.cn/~CircNet,"<a href=""https://awi.cuhk.edu.cn/~CircNet"">access link</a>",FALSE,No,2022,Can't be reached,2016,2022,210,18,2
JL22DB104,ClusterCAD,http://clustercad.igb.uci.edu,"<a href=""http://clustercad.igb.uci.edu"">access link</a>",FALSE,No,2022,Can't be reached,2018,2018,36,8,1
JL22DB110,CoevDB,http://phylodb.unil.ch/CoevDB,"<a href=""http://phylodb.unil.ch/CoevDB"">access link</a>",FALSE,No,2020,Can't be reached,2019,2019,1,3,1
JL22DB146,dbCAN-seq,http://cys.bios.niu.edu/dbCAN_seq,"<a href=""http://cys.bios.niu.edu/dbCAN_seq"">access link</a>",FALSE,No,2019,Can't be reached,2018,2018,64,9,1
JL22DB149,dbGuide,https://sgrnascorer.cancer.gov/dbguide,"<a href=""https://sgrnascorer.cancer.gov/dbguide"">access link</a>",FALSE,No,2021,Can't be reached,2021,2021,2,5,1
JL22DB151,dbPTM,https://awi.cuhk.edu.cn/dbPTM/,"<a href=""https://awi.cuhk.edu.cn/dbPTM/"">access link</a>",FALSE,No,2022,Can't be reached,2019,2022,56,22,2
JL22DB163,DifferentialNet,http://netbio.bgu.ac.il/diffnet/,"<a href=""http://netbio.bgu.ac.il/diffnet/"">access link</a>",FALSE,No,2021,Can't be reached,2018,2018,24,4,1
JL22DB189,ECOdrug,http://www.ecodrug.org,"<a href=""http://www.ecodrug.org"">access link</a>",FALSE,No,2022,Can't be reached,2018,2018,30,7,1
JL22DB202,ETCM : Encyclopedia of Traditional Chinese Medicine,http://www.nrc.ac.cn:9090/ETCM/,"<a href=""http://www.nrc.ac.cn:9090/ETCM/"">access link</a>",FALSE,No,2019,Can't be reached,2019,2019,119,13,1
JL22DB342,LincSNP,http://bioinfo.hrbmu.edu.cn/LincSNP,"<a href=""http://bioinfo.hrbmu.edu.cn/LincSNP"">access link</a>",FALSE,No,2015,Can't be reached,2017,2021,51,14,2
JL22DB350,LLPSDB : Liquid-liquid phase separation Database,http://bio-comp.ucas.ac.cn/llpsdb,"<a href=""http://bio-comp.ucas.ac.cn/llpsdb"">access link</a>",FALSE,No,2020,Can't be reached,2020,2020,21,8,1
JL22DB409,mMGE,https://mgedb.comp-sysbio.org,"<a href=""https://mgedb.comp-sysbio.org"">access link</a>",FALSE,No,2021,Can't be reached,2021,2021,1,8,1
JL22DB419,MRPrimerV database,http://mrprimerv.com/,"<a href=""http://mrprimerv.com/"">access link</a>",FALSE,No,2021,Can't be reached,2017,2017,8,6,1
JL22DB43,ATGC,http://dmk-brain.ecn.uiowa.edu/ATGC/,"<a href=""http://dmk-brain.ecn.uiowa.edu/ATGC/"">access link</a>",TRUE,No,2021,Can't be reached,2017,2017,20,3,1
JL22DB442,NPASS:Natural product activity and species source,http://bidd2.nus.edu.sg/NPASS/,"<a href=""http://bidd2.nus.edu.sg/NPASS/"">access link</a>",FALSE,No,2020,Can't be reached,2018,2018,58,14,1
JL22DB50,BCNTB : Breast Cancer Now Tissue Bank bioinformatics,http://bioinformatics.breastcancertissuebank.org/,"<a href=""http://bioinformatics.breastcancertissuebank.org/"">access link</a>",FALSE,No,2021,Can't be reached,2018,2018,3,5,1
