article_global_id,db_id,article_id,article_year,Authors,Author.s..ID,Title,Source.title,Volume,Issue,Page.start,Page.end,Index.Keywords,Funding.Details,Funding.Text.1,Funding.Text.2,Funding.Text.3,PubMed.ID,Open.Access,citations_2016,citations_2021,nb_authors
10.1093/nar/gkg084,MBDC0384,827,2003,"Sheik S.S., Ananthalakshmi P., Bhargavi G.R., Sekar K.",6602787279;8663297800;57103378100;7006325915;,CADB: Confrontation angles database of proteins,Nucleic Acids Research,31,1,448,451,"protein; animal; article; chemical structure; chemistry; computer interface; Internet; protein conformation; protein database; sequence homology; amino acid sequence; computer graphics; computer program; Conformation Angles DataBase; controlled study; crystallography; online system; priority journal; protein conformation; protein structure; review; Animals; Databases, Protein; Internet; Molecular Structure; Protein Conformation; Proteins; Sequence Homology, Amino Acid; User-Computer Interface","Department of Biotechnology, Ministry of Science and Technology, India, DBT","The CADB is developed and maintained at the Indian Institute of Science, Bangalore 560 012, India with support from the Department of Biotechnology, Government of India. The authors gratefully acknowledge the use of the Bioinformatics centre (DIC); the Interactive Graphics Based Molecular Modelling (IGBMM) and the Supercomputer Education and Research Centre (SERC). The facilities DIC and IGBMM are supported by the Department of Biotechnology (DBT), Government of India, India. We are grateful for individual project support from the DBT (K.S.). One of the authors (K.S.) thanks Dr N. Srinivasan for his critical comments on the manuscript.",NA,NA,12520049,"All Open Access, Bronze, Green",10,10,4
10.1093/nar/29.1.260,NAR9020,599,2001,"Ji H., Zhou Q., Wen F., Xia H., Lu X., Li Y.",8536743300;56461745000;57206272694;7201927962;55574231103;22433446000;,AsMamDB: An alternative splice database of mammals,Nucleic Acids Research,29,1,260,263,DNA; gene product; messenger RNA; nucleotide; RNA; alternative RNA splicing; article; chromosome; controlled study; data base; exon; expressed sequence tag; gene cluster; gene expression; gene location; gene structure; genetic transcription; human; Internet; intron; mammal; mouse; nonhuman; nucleotide sequence; priority journal; rat; regulator gene; Mammalia,NA,NA,NA,NA,11125106,"All Open Access, Green",46,47,6
10.1093/nar/29.1.260,NAR9020,624,2001,"Ji H., Zhou Q., Wen F., Xia H., Lu X., Li Y.",8536743300;56461745000;57206272694;7201927962;55574231103;22433446000;,AsMamDB: An alternative splice database of mammals,Nucleic Acids Research,29,1,260,263,DNA; gene product; messenger RNA; nucleotide; RNA; alternative RNA splicing; article; chromosome; controlled study; data base; exon; expressed sequence tag; gene cluster; gene expression; gene location; gene structure; genetic transcription; human; Internet; intron; mammal; mouse; nonhuman; nucleotide sequence; priority journal; rat; regulator gene; Mammalia,NA,NA,NA,NA,11125106,"All Open Access, Green",46,47,6
10.1093/nar/gkt1023,MBDC1680,2590,2014,"Li Y., Qiu C., Tu J., Geng B., Yang J., Jiang T., Cui Q.",57192523671;7102193862;55990728800;8076253500;8580085300;55660729800;15021697200;,HMDD v2.0: A database for experimentally supported human microRNA and disease associations,Nucleic Acids Research,42,D1,D1070,D1074,"microRNA; microRNA; microRNA; article; disease association; environmental factor; epigenetics; factual database; gene targeting; genetics; human; Human microRNA Disease Database; medical research; priority journal; RNA analysis; RNA gene; diseases; genetic epigenesis; Internet; metabolism; nucleic acid database; Article; computer prediction; data analysis; RNA binding; Databases, Nucleic Acid; Disease; Epigenesis, Genetic; Humans; Internet; MicroRNAs","National Natural Science Foundation of China, NSFC: 31000651, 31000653","National Basic Research program of China [2012CB517506, 2012CB517806]; National Natural Science Foundation of China [31000653]. Funding for open access charge: NSFC [31000651].",NA,NA,24194601,"All Open Access, Gold, Green",66,461,7
10.1093/nar/gks1002,MBDC1574,2578,2013,"Basse M.J., Betzi S., Bourgeas R., Bouzidi S., Chetrit B., Hamon V., Morelli X., Roche P.",12771060300;14059500000;35742629800;57215353532;13807406500;15048084700;6602632008;56366393700;,2P2Idb: A structural database dedicated to orthosteric modulation of protein-protein interactions,Nucleic Acids Research,41,D1,D824,D827,"article; binding affinity; complex formation; computer interface; controlled study; data mining; hydrogen bond; Internet; ligand binding; mathematical computing; priority journal; protein database; protein protein interaction; protein secondary structure; structure analysis; three dimensional imaging; web browser; Databases, Protein; Internet; Multiprotein Complexes; Protein Interaction Mapping; Protein Structure, Secondary; Software; User-Computer Interface","Agence Nationale de la Recherche, ANR: ANR-11-BS07-019-02",Funding for open access charge: Agence Nationale de la Recherche [ANR-11-BS07-019-02].,NA,NA,23203891,"All Open Access, Gold, Green",62,108,8
10.1093/nar/gki037,MBDC0633,1073,2005,"Stein A., Russell R.B., Aloy P.",12789515100;7403934434;6701754884;,3did: Interacting protein domains of known three-dimensional structure,Nucleic Acids Research,33,DATABASE ISS.,D413,D417,"fungal protein; protein; Saccharomyces cerevisiae protein; 3D Interacting Domains; computer program; gene function; gene interaction; Gene Ontology; genetic database; information processing; Internet; molecular interaction; nonhuman; priority journal; protein database; protein domain; protein family; protein protein interaction; protein structure; review; yeast; 3D Interacting Domains database; article; molecular dynamics; protein interaction; Saccharomyces cerevisiae; Databases, Protein; Fungal Proteins; Models, Molecular; Molecular Structure; Protein Structure, Tertiary; Proteins; User-Computer Interface; Saccharomyces cerevisiae",NA,NA,NA,NA,15608228,"All Open Access, Bronze, Green",127,143,3
10.1093/nar/gkn690,MBDC0633,1860,2009,"Stein A., Panjkovich A., Aloy P.",12789515100;8577439300;6701754884;,3did Update: Domain-domain and peptide-mediated interactions of known 3D structure,Nucleic Acids Research,37,SUPPL. 1,D300,D304,"globular protein; 3D interacting domains Database; access to information; article; binding affinity; Internet; molecular mechanics; peptide analysis; priority journal; protein binding; protein database; protein domain; protein protein interaction; protein structure; Computer Graphics; Databases, Protein; Peptides; Protein Interaction Domains and Motifs; Protein Interaction Mapping","Ministerio de Educación Superior, Ciencia y Tecnología, República Dominicana, MESCYT: BIO2007-62426, PSE-010000-2007-1

European Commission, EC

Sixth Framework Programme, FP6: LSHG-CT-2005-512028",Spanish Ministerio de Educación y Ciencia (PSE-010000-2007-1 and BIO2007-62426) partially; 3D-Repertoire from the European Commission under FP6 contract LSHG-CT-2005-512028. Funding for open access charge: BIO2007-62426.,NA,NA,18953040,"All Open Access, Gold, Green",53,60,3
10.1093/nar/gkq962,MBDC0633,2046,2011,"Stein A., Céol A., Aloy P.",12789515100;15758938100;6701754884;,3did: Identification and classification of domain-based interactions of known three-dimensional structure,Nucleic Acids Research,39,SUPPL. 1,D718,D723,"article; client server application; computer interface; data analysis; factual database; Internet; priority journal; protein domain; protein interaction; structural bioinformatics; three dimensional interacting domain database; Computer Graphics; Databases, Protein; Models, Molecular; Peptides; Protein Interaction Domains and Motifs; Protein Interaction Mapping","Seventh Framework Programme, FP7: 223101

Ministerio de Educación Superior, Ciencia y Tecnología, República Dominicana, MESCYT

European Commission, EC

Seventh Framework Programme, FP7",Grants BIO2007-62426 and PSS-010000-2009 from the Spanish Ministerio de Educación y Ciencia and the European Commission under FP7 Grant Agreement 223101(AntiPathoGN). Funding for open access charge: BIO2007-62426.,NA,NA,20965963,"All Open Access, Gold, Green",96,112,3
10.1093/nar/gkt887,MBDC0633,2762,2014,"Mosca R., Céol A., Stein A., Olivella R., Aloy P.",8506336600;15758938100;12789515100;23670613000;6701754884;,3did: A catalog of domain-based interactions of known three-dimensional structure,Nucleic Acids Research,42,D1,D374,D379,"article; information processing; information retrieval; online system; priority journal; protein database; protein protein interaction; protein structure; web browser; chemical structure; Internet; protein analysis; protein domain; protein protein interaction; 3D interacting domain data base; Article; automation; data base; protein binding; Protein Data Bank; protein domain; protein motif; protein structure; three dimensional imaging; Databases, Protein; Internet; Models, Molecular; Protein Interaction Domains and Motifs; Protein Interaction Mapping; Protein Interaction Maps; amino acid","BIO2010-22073

Seventh Framework Programme, FP7: 306240

European Commission, EC

Seventh Framework Programme, FP7",Funding for open access charge: The Spanish Ministerio de Ciencia e Innovación through the grant [BIO2010-22073] and the European Commission under FP7 Grant Agreement [306240 (SyStemAge)].,NA,NA,24081580,"All Open Access, Gold, Green",42,140,5
10.1093/nar/gkp959,MBDC1350,1915,2010,"Zheng G., Colasanti A.V., Lu X., Olson W.K.",36725857500;34967958400;35345300100;7201420206;,3DNALandscapes: A database for exploring the conformational features of DNA,Nucleic Acids Research,38,SUPPL.1,D267,D274,"DNA; ligand; phosphate; protein; sugar; 3DNALandscapes database; article; computer interface; computer program; DNA conformation; DNA determination; DNA sequence; DNA structure; genetic database; Internet; molecular imaging; molecular interaction; priority journal; simulation; animal; biology; chemistry; computer graphics; conformation; human; information retrieval; methodology; nucleic acid database; protein database; Animals; Computational Biology; Computer Graphics; Databases, Genetic; Databases, Nucleic Acid; Databases, Protein; DNA; Humans; Information Storage and Retrieval; Internet; Ligands; Nucleic Acid Conformation; Software","National Institute of General Medical Sciences, NIGMS: R01GM020861, R01GM034809

National Institute of Diabetes and Digestive and Kidney Diseases, NIDDK: R90DK071502

National Center for Research Resources, NCRR: S10RR022375",NA,NA,NA,19906722,"All Open Access, Gold, Green",8,10,4
10.1093/nar/gki085,NAR9002,1051,2005,"Kasai Y., Hashimoto S.-I., Yamada T., Sese J., Sugano S., Matsushima K., Morishita S.",35912922400;55971735100;55578807301;6603719506;35354458800;35083950900;7102349168;,5′SAGE: 5′-end Serial Analysis of Gene Expression database,Nucleic Acids Research,33,DATABASE ISS.,D550,D552,"messenger RNA; neurofilament protein; 5' end Serial Analysis of Gene Expression database; article; cell strain HEK293; gene frequency; genetic database; genetic transcription; human; human cell; information processing; Internet; intron; nucleotide sequence; priority journal; promoter region; transcription initiation site; 5' end Serial Analysiss of Gene Expression Database; accuracy; expressed sequence tag; gene library; serial analysis of gene expression; cell line; DNA flanking region; gene expression profiling; genome; nucleic acid database; sequence tagged site; transcription initiation site; 5' Flanking Region; Cell Line; Databases, Nucleic Acid; Gene Expression Profiling; Genome, Human; Humans; Sequence Tagged Sites; Transcription Initiation Site","Ministry of Education, Culture, Sports, Science and Technology","This work was supported in part by a Grant-in-Aid for Scientific Research on Priority Areas (C) from the Ministry of Education, Culture, Sports, Science and Technology of Japan.",NA,NA,15608259,"All Open Access, Green",13,13,7
10.1093/nar/gku943,MBDC1810,2934,2015,"Ran X., Li J., Shao Q., Chen H., Lin Z., Sun Z.S., Wu J.",56342404500;57211105448;56511137100;56510410000;57155250300;7404239436;55645495700;,EpilepsyGene: A genetic resource for genes and mutations related to epilepsy,Nucleic Acids Research,43,D1,D893,D899,"Article; comorbidity; data mining; disease association; epilepsy; EpilepsyGene database; gene function; gene identification; gene mutation; genetic association; genetic database; genetic resource; genetic variability; medical research; phenotype; process development; epilepsy; gene; gene regulatory network; genetics; human; Internet; molecular genetics; mutation; nucleic acid database; Comorbidity; Databases, Nucleic Acid; Epilepsy; Gene Regulatory Networks; Genes; Humans; Internet; Molecular Sequence Annotation; Mutation",NA,NA,NA,NA,25324312,"All Open Access, Gold, Green",2,38,7
10.1093/nar/gkn746,NAR9082,1769,2009,"Bhasi A., Philip P., Manikandan V., Senapathy P.",18633762900;25932356000;25932205100;6602597410;,ExDom: An integrated database for comparative analysis of the exon-intron structures of protein domains in eukaryotes,Nucleic Acids Research,37,SUPPL. 1,D703,D711,"amino acid; Arabidopsis; article; chicken; comparative study; computer graphics; computer interface; eukaryote; ExDom database; exon; genetic database; human; Internet; intron; mouse; nonhuman; nucleotide sequence; priority journal; protein domain; protein tertiary structure; rat; sequence alignment; Animals; Arabidopsis Proteins; Avian Proteins; Cattle; Chickens; Databases, Protein; Exons; Humans; Introns; Mice; Protein Isoforms; Protein Structure, Tertiary; Rats; Sequence Alignment; Sequence Analysis, Protein; Systems Integration; User-Computer Interface; Zebrafish Proteins; Arabidopsis thaliana; Bos taurus; Danio rerio; Eukaryota; Gallus gallus; Homo sapiens; Mus musculus; Rattus norvegicus",NA,NA,NA,NA,18984624,"All Open Access, Gold, Green",7,8,4
10.1093/nar/gkh128,NAR9003,940,2004,"Hoffman M.M., Khrapov M.A., Cox J.C., Yao J., Tong L., Ellington A.D.",57203496086;6506229050;22953201100;55478507300;8072124300;35497668300;,AANT: The Amino Acid-Nucleotide Interaction Database,Nucleic Acids Research,32,DATABASE ISS.,D174,D181,amino acid; nucleic acid binding protein; nucleotide; Amino Acid Nucleotide Interaction Database; article; binding affinity; cluster analysis; comparative study; computer graphics; computer interface; computer program; factual database; human computer interaction; image display; information processing; Internet; learning; molecular interaction; nucleic acid structure; priority journal; protein aggregation; protein binding; Protein Data Bank; protein engineering; protein structure; structure analysis,"Office of Naval Research, ONR: N00014-99-1-0861",This work was supported by Office of Naval Research Grant number N00014-99-1-0861.,NA,NA,14681388,"All Open Access, Bronze, Green",92,108,6
10.1093/nar/gkh128,NAR9003,1031,2004,"Hoffman M.M., Khrapov M.A., Cox J.C., Yao J., Tong L., Ellington A.D.",57203496086;6506229050;22953201100;55478507300;8072124300;35497668300;,AANT: The Amino Acid-Nucleotide Interaction Database,Nucleic Acids Research,32,DATABASE ISS.,D174,D181,amino acid; nucleic acid binding protein; nucleotide; Amino Acid Nucleotide Interaction Database; article; binding affinity; cluster analysis; comparative study; computer graphics; computer interface; computer program; factual database; human computer interaction; image display; information processing; Internet; learning; molecular interaction; nucleic acid structure; priority journal; protein aggregation; protein binding; Protein Data Bank; protein engineering; protein structure; structure analysis,"Office of Naval Research, ONR: N00014-99-1-0861",This work was supported by Office of Naval Research Grant number N00014-99-1-0861.,NA,NA,14681388,NA,93,108,6
