db_id,resource_name,current_access,link_HTML,available_2016,unavailable_message_2016,available_update_date_2016,notes_2016,nb_articles_2016,total_citation_2016,total_citation_2021,year_first_publication,year_last_publication
NAR9023,ASTRAL Compendium,http://astral.stanford.edu/,"<a href=""http://astral.stanford.edu/"">access link</a>",no,can't be reached,not_applicable,not_applicable,3,924,1000,2000,2004
MBDC1222,ATGC: Alignable Tight Genomic Clusters,http://atgc.lbl.gov,"<a href=""http://atgc.lbl.gov"">access link</a>",yes,not_applicable,2007,not_applicable,1,28,40,2009,2009
MBDC0122,Atlas of Genetics and Cytogenetics in Oncology and Haematology,http://atlasgeneticsoncology.org/,"<a href=""http://atlasgeneticsoncology.org/"">access link</a>",yes,not_applicable,2016,Funding; donate now,5,121,205,1999,2013
MBDC0934,ATTED-II: Arabidopsis thaliana trans-factor and cis-element prediction database,http://atted.jp,"<a href=""http://atted.jp"">access link</a>",yes,not_applicable,2015,not_applicable,2,497,599,2007,2009
MBDC1537,AutismKB,http://autismkb.cbi.pku.edu.cn/,"<a href=""http://autismkb.cbi.pku.edu.cn/"">access link</a>",yes,not_applicable,2012,not_applicable,1,66,118,2012,2012
MBDC1202,AutoSNPdb,http://autosnpdb.qfab.org.au/,"<a href=""http://autosnpdb.qfab.org.au/"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,51,63,2009,2009
MBDC1867,BacWGSTdb: Bacterial Whole Genome Sequence Typing Database,http://bacdb.org/BacWGSTdb,"<a href=""http://bacdb.org/BacWGSTdb"">access link</a>",yes,not_applicable,unknown,not_applicable,1,2,103,2016,2016
MBDC1694,BacDive: Bacterial Diversity Metadatabase,http://bacdive.dsmz.de/,"<a href=""http://bacdive.dsmz.de/"">access link</a>",yes,not_applicable,2016,not_applicable,2,9,52,2014,2016
MBDC0641,BacMap,http://bacmap.wishartlab.com/,"<a href=""http://bacmap.wishartlab.com/"">access link</a>",yes,not_applicable,unknown,not_applicable,2,36,50,2005,2012
MBDC1736,BacMet,http://bacmet.biomedicine.gu.se,"<a href=""http://bacmet.biomedicine.gu.se"">access link</a>",yes,not_applicable,2014,not_applicable,1,21,221,2014,2014
NAR9047,DAtA: Database of Arabidopsis thaliana Annotation,http://baggage.stanford.edu/group/arabprotein/,"<a href=""http://baggage.stanford.edu/group/arabprotein/"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,6,6,2000,2000
MBDC1411,Gene Expression Barcode,http://barcode.luhs.org,"<a href=""http://barcode.luhs.org"">access link</a>",yes,not_applicable,unknown,not_applicable,2,110,179,2011,2014
NAR9027,BayGenomics,http://baygenomics.ucsf.edu/,"<a href=""http://baygenomics.ucsf.edu/"">access link</a>",no,not found,not_applicable,not_applicable,1,180,201,2003,2003
MBDC1253,OligoArrayDb,http://berry.engin.umich.edu/oligoarraydb,"<a href=""http://berry.engin.umich.edu/oligoarraydb"">access link</a>",yes,not_applicable,unknown,not_applicable,1,7,7,2009,2009
MBDC1678,OnTheFly,http://bhapp.c2b2.columbia.edu/OnTheFly/index.php,"<a href=""http://bhapp.c2b2.columbia.edu/OnTheFly/index.php"">access link</a>",yes,not_applicable,2015,not_applicable,1,9,23,2014,2014
MBDC1632,PrePPI: PREdiction Protein-Protein Interactions,http://bhapp.c2b2.columbia.edu/PrePPI,"<a href=""http://bhapp.c2b2.columbia.edu/PrePPI"">access link</a>",yes,not_applicable,2012,not_applicable,1,65,133,2013,2013
NAR9133,HyPaLib: Hybrid Pattern Library,http://bibiserv.techfak.uni-bielefeld.de/HyPa/,"<a href=""http://bibiserv.techfak.uni-bielefeld.de/HyPa/"">access link</a>",no,not found,not_applicable,not_applicable,1,14,14,2001,2001
NAR9221,PharmGED,http://bidd.cz3.nus.edu.sg/phg/,"<a href=""http://bidd.cz3.nus.edu.sg/phg/"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,4,6,2007,2007
MBDC0138,KDBI: Kinetic Data of Biomolecular Interactions,http://bidd.nus.edu.sg/group/kdbi/kdbi.asp,"<a href=""http://bidd.nus.edu.sg/group/kdbi/kdbi.asp"">access link</a>",yes,not_applicable,unknown,not_applicable,2,36,50,2003,2009
MBDC0315,TTD: Therapeutic Target Database,http://bidd.nus.edu.sg/group/ttd/ttd.asp,"<a href=""http://bidd.nus.edu.sg/group/ttd/ttd.asp"">access link</a>",no,service unavailable,not_applicable,not_applicable,5,496,1104,2002,2016
MBDC1790,Cfam: Chemical Families Database,http://bidd2.cse.nus.edu.sg/cfam,"<a href=""http://bidd2.cse.nus.edu.sg/cfam"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,1,5,2015,2015
MBDC1854,"BiGG Models: Biochemical, Genetic and Genomic Models",http://bigg.ucsd.edu,"<a href=""http://bigg.ucsd.edu"">access link</a>",no,service unavailable,not_applicable,not_applicable,1,4,304,2016,2016
MBDC0226,MitoDrome,http://bighost.area.ba.cnr.it/BIG/MitoDrome,"<a href=""http://bighost.area.ba.cnr.it/BIG/MitoDrome"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,33,39,2003,2003
NAR9009,AMmtDB,http://bighost.area.ba.cnr.it/mitochondriom,"<a href=""http://bighost.area.ba.cnr.it/mitochondriom"">access link</a>",no,can't be reached,not_applicable,Indexing - other; name wrong in title of scopus record (correct in pubmed),3,29,105,1999,2002
MBDC0085,MitoNuc,http://bighost.area.ba.cnr.it/mitochondriome,"<a href=""http://bighost.area.ba.cnr.it/mitochondriome"">access link</a>",no,can't be reached,not_applicable,not_applicable,2,13,17,2000,2002
MBDC0189,PLANT-Pls,http://bighost.area.ba.cnr.it/PLANT-Pls,"<a href=""http://bighost.area.ba.cnr.it/PLANT-Pls"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,80,44,2002,2002
NAR9230,PLMltRNA,http://bighost.area.ba.cnr.it/PLMItRNA/,"<a href=""http://bighost.area.ba.cnr.it/PLMItRNA/"">access link</a>",no,can't be reached,not_applicable,not_applicable,5,16,18,1998,2003
NAR9028,BIND: Biomolecular Interaction Network Database,http://bind.ca,"<a href=""http://bind.ca"">access link</a>",no,can't be reached,not_applicable,not_applicable,3,1567,1812,2001,2005
MBDC1436,PRIDB: Protein-RNA Interface DataBase,http://bindr.gdcb.iastate.edu/PRIDB,"<a href=""http://bindr.gdcb.iastate.edu/PRIDB"">access link</a>",yes,not_applicable,2013,Access - Failure Notes; Service Status; Honest; CAUTION!!! PRIDB IS CURRENTLY UNDER MAINTENANCE. OUTPUT REGARDING INTERFACIAL RESIDUES SHOULD NOT BE CONSIDERED RELIABLE.,1,44,87,2011,2011
MBDC1451,TMPad: TransMembrane Protein Helix-Packing Database,http://bio-cluster.iis.sinica.edu.tw/TMPad,"<a href=""http://bio-cluster.iis.sinica.edu.tw/TMPad"">access link</a>",yes,not_applicable,2016,not_applicable,1,14,16,2011,2011
MBDC0156,AARSDB: Aminoacyl-tRNA Synthetase Data Bank,http://biobases.ibch.poznan.pl/aars/,"<a href=""http://biobases.ibch.poznan.pl/aars/"">access link</a>",yes,not_applicable,2003,not_applicable,3,30,34,1999,2001
MBDC0381,ncRNAdb: Noncoding RNAs database,http://biobases.ibch.poznan.pl/ncRNA/,"<a href=""http://biobases.ibch.poznan.pl/ncRNA/"">access link</a>",yes,not_applicable,unknown,not_applicable,5,285,326,1999,2007
MBDC1344,deepBase,http://biocenter.sysu.edu.cn/deepBase/,"<a href=""http://biocenter.sysu.edu.cn/deepBase/"">access link</a>",no,can't be reached,not_applicable,not_applicable,2,89,254,2010,2016
NAR9114,GRR: Glucocorticoid Receptor Resource,http://biochem1.basic-sci.georgetown.edu/grr/grr.html,"<a href=""http://biochem1.basic-sci.georgetown.edu/grr/grr.html"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,0,NA,1996,1996
MBDC1556,DIGIT: Database of Immunoglobulins with Integrated Tools,http://biocomputing.it/digit,"<a href=""http://biocomputing.it/digit"">access link</a>",yes,not_applicable,unknown,not_applicable,1,19,33,2012,2012
MBDC1523,InterEvol database,http://biodev.cea.fr/interevol/,"<a href=""http://biodev.cea.fr/interevol/"">access link</a>",no,not found,not_applicable,not_applicable,1,15,40,2012,2012
MBDC1672,BioGPS,http://biogps.org,"<a href=""http://biogps.org"">access link</a>",yes,not_applicable,unknown,not_applicable,2,53,368,2013,2016
MBDC0489,GTD: Genomic Threading Database,http://bioinf.cs.ucl.ac.uk/GTD,"<a href=""http://bioinf.cs.ucl.ac.uk/GTD"">access link</a>",yes,not_applicable,2016,Access - Transfer/Redirect; redirects to Gene3D,1,30,34,2004,2004
NAR9236,PROMISE,http://bioinf.leeds.ac.uk/promise/,"<a href=""http://bioinf.leeds.ac.uk/promise/"">access link</a>",no,can't be reached,not_applicable,not_applicable,2,39,41,1998,1999
MBDC0638,AtNoPDB: Arabidopsis Nucleolar Protein DataBase,http://bioinf.scri.sari.ac.uk/cgi-bin/atnopdb/home,"<a href=""http://bioinf.scri.sari.ac.uk/cgi-bin/atnopdb/home"">access link</a>",yes,not_applicable,unknown,not_applicable,1,51,62,2005,2005
MBDC1812,ADReCS: dverse Drug Reaction Classification System,http://bioinf.xmu.edu.cn/ADReCS/,"<a href=""http://bioinf.xmu.edu.cn/ADReCS/"">access link</a>",yes,not_applicable,2016,not_applicable,1,5,38,2015,2015
MBDC1333,TADB: Type 2 toxin-Antitoxin DataBase,http://bioinfo-mml.sjtu.edu.cn/TADB/,"<a href=""http://bioinfo-mml.sjtu.edu.cn/TADB/"">access link</a>",yes,not_applicable,2016,not_applicable,1,93,190,2011,2011
MBDC1464,mirEX,http://bioinfo.amu.edu.pl/mirex,"<a href=""http://bioinfo.amu.edu.pl/mirex"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,16,32,2012,2012
MBDC0984,dbRES: RNA Editing Sites,http://bioinfo.au.tsinghua.edu.cn/dbRES,"<a href=""http://bioinfo.au.tsinghua.edu.cn/dbRES"">access link</a>",no,forbidden,not_applicable,not_applicable,1,14,22,2007,2007
MBDC1837,DbSUPER: Database of Super-enhancers,http://bioinfo.au.tsinghua.edu.cn/dbsuper/,"<a href=""http://bioinfo.au.tsinghua.edu.cn/dbsuper/"">access link</a>",yes,not_applicable,2015,not_applicable,1,5,156,2016,2016
MBDC0833,ITTACA: Integrated Tumor Transcriptome Array and Clinical data Analysis,http://bioinfo.curie.fr/ittaca,"<a href=""http://bioinfo.curie.fr/ittaca"">access link</a>",no,discontinued notice,not_applicable,not_applicable,1,31,42,2006,2006
NAR9315,VirGen,http://bioinfo.ernet.in/virgen/virgen.html,"<a href=""http://bioinfo.ernet.in/virgen/virgen.html"">access link</a>",no,can't be reached,not_applicable,Link; hftp in abstract - checked PDF,1,16,17,2004,2004
MBDC1539,DiseaseMeth,http://bioinfo.hrbmu.edu.cn/diseasemeth,"<a href=""http://bioinfo.hrbmu.edu.cn/diseasemeth"">access link</a>",yes,not_applicable,2016,not_applicable,1,35,65,2012,2012
MBDC1345,HHMD: Human Histone Modification Database,http://bioinfo.hrbmu.edu.cn/hhmd,"<a href=""http://bioinfo.hrbmu.edu.cn/hhmd"">access link</a>",yes,not_applicable,2009,not_applicable,1,33,59,2010,2010
MBDC1477,MIPModDB,http://bioinfo.iitk.ac.in/MIPModDB,"<a href=""http://bioinfo.iitk.ac.in/MIPModDB"">access link</a>",yes,not_applicable,unknown,not_applicable,1,15,28,2012,2012
MBDC1864,SigMol,http://bioinfo.imtech.res.in/manojk/sigmol,"<a href=""http://bioinfo.imtech.res.in/manojk/sigmol"">access link</a>",yes,not_applicable,unknown,not_applicable,1,1,53,2016,2016
MBDC1460,AnimalTFDB: Animal Transcription Factor Database,http://bioinfo.life.hust.edu.cn/AnimalTFDB/,"<a href=""http://bioinfo.life.hust.edu.cn/AnimalTFDB/"">access link</a>",yes,not_applicable,unknown,not_applicable,2,92,361,2012,2015
MBDC1767,lncRNASNP,http://bioinfo.life.hust.edu.cn/IncRNASNP/,"<a href=""http://bioinfo.life.hust.edu.cn/IncRNASNP/"">access link</a>",no,not found,not_applicable,not_applicable,1,27,144,2015,2015
MBDC1105,NORINE,http://bioinfo.lifl.fr/NRP,"<a href=""http://bioinfo.lifl.fr/NRP"">access link</a>",yes,not_applicable,unknown,not_applicable,2,117,217,2008,2016
MBDC1885,ccmGDB: cancer cell metabolism genes database,http://bioinfo.mc.vanderbilt.edu/ccmGDB,"<a href=""http://bioinfo.mc.vanderbilt.edu/ccmGDB"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,3,23,2016,2016
MBDC1644,TSGene: Tumor Suppressor Gene,http://bioinfo.mc.vanderbilt.edu/TSGene/,"<a href=""http://bioinfo.mc.vanderbilt.edu/TSGene/"">access link</a>",no,can't be reached,not_applicable,not_applicable,2,129,389,2013,2016
MBDC0042,PromEC,http://bioinfo.md.huji.ac.il/marg/promec,"<a href=""http://bioinfo.md.huji.ac.il/marg/promec"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,44,50,2001,2001
MBDC1683,HRaP: HomoRepeats and Patterns,http://bioinfo.protres.ru/hrap/,"<a href=""http://bioinfo.protres.ru/hrap/"">access link</a>",yes,not_applicable,unknown,not_applicable,1,8,20,2014,2014
NAR9293,TMPDB,http://bioinfo.si.hirosaki-u.ac.jp/~TMPDB/,"<a href=""http://bioinfo.si.hirosaki-u.ac.jp/~TMPDB/"">access link</a>",yes,not_applicable,unknown,not_applicable,1,60,76,2003,2003
MBDC1177,PDBselect,http://bioinfo.tg.fh-giessen.de/pdbselect/,"<a href=""http://bioinfo.tg.fh-giessen.de/pdbselect/"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,66,89,2010,2010
MBDC1268,ERGR: Ethanol-Related Gene Resource,http://bioinfo.vipbg.vcu.edu/ERGR/,"<a href=""http://bioinfo.vipbg.vcu.edu/ERGR/"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,26,35,2009,2009
MBDC0350,GeneCards,http://bioinfo.weizmann.ac.il/cards/,"<a href=""http://bioinfo.weizmann.ac.il/cards/"">access link</a>",no,not found,not_applicable,not_applicable,1,24,136,2003,2003
MBDC0366,HORDE: Human Olfactory Receptor Data Explora-torium,http://bioinfo.weizmann.ac.il/HORDE,"<a href=""http://bioinfo.weizmann.ac.il/HORDE"">access link</a>",no,not found,not_applicable,not_applicable,1,24,136,2003,2003
NAR9307,UDB,http://bioinfo.weizmann.ac.il/udb,"<a href=""http://bioinfo.weizmann.ac.il/udb"">access link</a>",no,not found,not_applicable,not_applicable,1,24,136,2003,2003
MBDC1321,NGSmethDB,http://bioinfo2.ugr.es/NGSmethDB,"<a href=""http://bioinfo2.ugr.es/NGSmethDB"">access link</a>",yes,not_applicable,2016,not_applicable,2,35,61,2011,2014
MBDC1252,RsiteDB,http://bioinfo3d.cs.tau.ac.il/RsiteDB,"<a href=""http://bioinfo3d.cs.tau.ac.il/RsiteDB"">access link</a>",yes,not_applicable,unknown,not_applicable,1,13,20,2009,2009
MBDC1781,Sc-PDB,http://bioinfopharma.u-strasbg.fr/scPDB/,"<a href=""http://bioinfopharma.u-strasbg.fr/scPDB/"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,14,82,2015,2015
NAR9056,DMAPS: Database of Multiple Alignments for Protein Structures,http://bioinformatics.albany.edu/~dmaps,"<a href=""http://bioinformatics.albany.edu/~dmaps"">access link</a>",no,forbidden,not_applicable,not_applicable,1,4,5,2006,2006
MBDC1323,OMPdb,http://bioinformatics.biol.uoa.gr/OMPdb,"<a href=""http://bioinformatics.biol.uoa.gr/OMPdb"">access link</a>",yes,not_applicable,2016,not_applicable,1,23,37,2011,2011
MBDC1801,BCCTBbp: Breast Cancer Campaign Tissue Bank bioinformatics portal,http://bioinformatics.breastcancertissuebank.org/,"<a href=""http://bioinformatics.breastcancertissuebank.org/"">access link</a>",yes,not_applicable,unknown,not_applicable,1,3,8,2015,2015
NAR9231,PMRD: Plant MicroRNA Database,http://bioinformatics.cau.edu.cn/PMRD,"<a href=""http://bioinformatics.cau.edu.cn/PMRD"">access link</a>",no,can't be reached,not_applicable,not_applicable,1,144,242,2010,2010
MBDC1302,CancerResource,http://bioinformatics.charite.de/care,"<a href=""http://bioinformatics.charite.de/care"">access link</a>",yes,not_applicable,unknown,not_applicable,2,42,78,2011,2016
MBDC1313,FragmentStore,http://bioinformatics.charite.de/fragment-store,"<a href=""http://bioinformatics.charite.de/fragment-store"">access link</a>",no,not found,not_applicable,not_applicable,1,9,17,2011,2011
MBDC1192,JAIL: Just Another Interface Library,http://bioinformatics.charite.de/jail,"<a href=""http://bioinformatics.charite.de/jail"">access link</a>",yes,not_applicable,2009,not_applicable,1,4,6,2009,2009
MBDC1687,MVOC: Microbial Volatile Organic Compounds,http://bioinformatics.charite.de/mvoc,"<a href=""http://bioinformatics.charite.de/mvoc"">access link</a>",yes,not_applicable,unknown,not_applicable,1,48,174,2014,2014
MBDC1437,PROMISCUOUS,http://bioinformatics.charite.de/promiscuous,"<a href=""http://bioinformatics.charite.de/promiscuous"">access link</a>",no,not found,not_applicable,not_applicable,1,99,171,2011,2011
MBDC1348,SuperCYP,http://bioinformatics.charite.de/supercyp,"<a href=""http://bioinformatics.charite.de/supercyp"">access link</a>",yes,not_applicable,unknown,Service Status; please used our updated enhanced website TRANSFORMER as this one is out dated…,1,93,180,2010,2010
MBDC0967,SuperHapten,http://bioinformatics.charite.de/superhapten,"<a href=""http://bioinformatics.charite.de/superhapten"">access link</a>",yes,not_applicable,unknown,not_applicable,1,9,16,2007,2007
MBDC0903,Super Natural,http://bioinformatics.charite.de/supernatural,"<a href=""http://bioinformatics.charite.de/supernatural"">access link</a>",yes,not_applicable,unknown,not_applicable,2,59,193,2006,2015
MBDC1738,SuperPain,http://bioinformatics.charite.de/superpain/,"<a href=""http://bioinformatics.charite.de/superpain/"">access link</a>",yes,not_applicable,unknown,not_applicable,1,2,7,2014,2014
MBDC1225,SuperScent,http://bioinformatics.charite.de/supersent,"<a href=""http://bioinformatics.charite.de/supersent"">access link</a>",no,not found,not_applicable,not_applicable,1,42,80,2009,2009
MBDC1196,SuperSite,http://bioinformatics.charite.de/supersite,"<a href=""http://bioinformatics.charite.de/supersite"">access link</a>",yes,not_applicable,unknown,not_applicable,1,20,24,2009,2009
